"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000424952322673027,3.42715117028113,0.737,0.391,1,"HER2+","MGAT4A"
0.000425664484688975,2.33657596692889,0.684,0.435,1,"HER2+","NDUFS3"
0.000426190196123885,2.44424599134741,0.526,0.087,1,"HER2+","MPHOSPH10"
0.000428701466729002,1.9641518164311,0.5,0.043,1,"HER2+","MAGI3"
0.000429853862077868,1.39683000501572,0.947,0.826,1,"HER2+","ATP9B"
0.000431125310282007,2.07591418179367,0.632,0.261,1,"HER2+","MSH3"
0.000435857418118616,1.60634299310209,0.789,0.435,1,"HER2+","CLN6"
0.000435857418118616,2.31394796047617,0.789,0.435,1,"HER2+","TTC8"
0.000435857418118616,2.8926502929192,0.737,0.522,1,"HER2+","TUBGCP5"
0.000438470099478843,2.76187010159966,0.842,0.609,1,"HER2+","TRIM38"
0.000439837465416239,1.83230710130791,0.684,0.304,1,"HER2+","MRPS12"
0.000439837465416239,2.84032579980291,0.684,0.304,1,"HER2+","SEC11C"
0.000440081804255103,2.64021326367797,0.763,0.522,1,"HER2+","USP16"
0.000441037426416126,1.03368700049922,0.579,0.13,1,"HER2+","MS4A6A"
0.000442673391511565,1.99658540627048,0.789,0.522,1,"HER2+","MAN2B2"
0.000443290335824934,1.80475272984618,0.868,0.478,1,"HER2+","RGS12"
0.000443290335824934,3.23603816681443,0.816,0.565,1,"HER2+","VPS35"
0.000443290335824934,1.59079715298813,0.816,0.565,1,"HER2+","APOOL"
0.000443290335824934,2.16546369195188,0.816,0.565,1,"HER2+","NUDT9"
0.000445506796311267,3.06037787698469,0.605,0.217,1,"HER2+","TMEM25"
0.000446027730792484,1.54308946764312,0.711,0.304,1,"HER2+","MAP7D3"
0.000446420984017646,2.77933613210735,0.579,0.174,1,"HER2+","CASD1"
0.000446420984017646,3.43507733786889,0.579,0.174,1,"HER2+","DUSP10"
0.000446420984017646,3.75129357822902,0.579,0.174,1,"HER2+","PSMC2"
0.000447315301032581,2.43026411388496,0.763,0.391,1,"HER2+","TARBP1"
0.000447315301032581,1.26339934674748,0.763,0.391,1,"HER2+","HELZ2"
0.000447315301032581,2.73473849982749,0.737,0.435,1,"HER2+","CEP295"
0.000447930420893741,1.93037699568826,0.921,0.739,1,"HER2+","KTN1"
0.000449753079818947,2.90719176152752,0.737,0.304,1,"HER2+","NARS1"
0.000449753079818947,2.11026016720347,0.684,0.391,1,"HER2+","TYW3"
0.000449753079818947,2.56012554085927,0.684,0.391,1,"HER2+","COMMD6"
0.000451119536198927,2.82352713185561,0.684,0.435,1,"HER2+","ALG5"
0.000452802537464763,2.78259439371524,0.789,0.478,1,"HER2+","DBR1"
0.000452982783466654,1.2374350766454,0.711,0.261,1,"HER2+","ABCG1"
0.00045392946089155,1.97128633335022,0.921,0.565,1,"HER2+","GFPT1"
0.00045392946089155,4.35824903804586,0.816,0.739,1,"HER2+","SLC38A1"
0.000454898819361359,2.30698551415843,0.526,0.087,1,"HER2+","UCK2"
0.000455321201577816,2.0160136063933,0.763,0.435,1,"HER2+","SYT12"
0.000456467219948784,2.07006373054021,0.789,0.565,1,"HER2+","GART"
0.000457430129926892,3.70337832498823,0.658,0.304,1,"HER2+","DDX1"
0.000457430129926892,2.81316328615777,0.658,0.304,1,"HER2+","GALE"
0.000457430129926892,2.16787030925279,0.658,0.304,1,"HER2+","NOL3"
0.000459450057550796,1.95727520022175,0.868,0.609,1,"HER2+","BCL7C"
0.00045973847186053,1.78004882374349,0.553,0.13,1,"HER2+","ELP1"
0.000463892110601448,1.83128397001541,0.816,0.652,1,"HER2+","UTP6"
